country,model,RMSE,MAPE
Fiji,Gradient Boosting (XGB substitute),0.951290065461284,9.720672690215041
Fiji,Random Forest,0.5773708037707737,6.317627051826408
Finland,ARIMA,23.58263257529986,5.7855687603330175
Finland,Exponential Smoothing,10.182759250405832,2.545820197765673
Finland,Gradient Boosting (XGB substitute),20.63847669957487,5.427366208426742
Finland,Random Forest,17.30673644997023,4.724735626885123
France,ARIMA,169.76167996292014,4.4717519659431
France,Exponential Smoothing,169.6111869917302,4.511053432186674
France,Gradient Boosting (XGB substitute),183.3875312854439,5.532269626287392
France,Random Forest,193.40405938438568,6.079606305996393
French Guiana,ARIMA,1.7026619736417072,16102650617.481115
French Guiana,Exponential Smoothing,5.334009921004335,53273923287.16757
French Guiana,Gradient Boosting (XGB substitute),1.721796436454261,16978647303.21864
French Guiana,Random Forest,1.753642968404154,17445907407.407402
French Polynesia,ARIMA,0.24430748751575257,4.71333662807087
French Polynesia,Exponential Smoothing,0.7344175071076089,13.536589401300233
French Polynesia,Gradient Boosting (XGB substitute),0.21626316439081256,4.177689798434786
French Polynesia,Random Forest,0.18372716926779312,3.60793295474006
Gabon,ARIMA,1.6097556890158011,6.223981426260423
Gabon,Exponential Smoothing,2.419451837557347,9.96207308113201
Gabon,Gradient Boosting (XGB substitute),1.4242154540148795,6.1106297074307525
Gabon,Random Forest,2.122200405828792,9.529707915882813
Gambia,ARIMA,0.07724671442490409,3.020139838217625
Gambia,Exponential Smoothing,0.08829673428374026,3.4942630195620863
Gambia,Gradient Boosting (XGB substitute),0.2924036304412842,11.50745048342365
Gambia,Random Forest,0.2935187693180342,11.507391981732942
Georgia,ARIMA,4.063009829661908,4.490864517674393
Georgia,Exponential Smoothing,9.376297570809449,10.624812168187308
Georgia,Gradient Boosting (XGB substitute),5.931960267977581,7.221495816752705
Georgia,Random Forest,8.263702704263109,10.636283459247315
Germany,ARIMA,213.4180160440813,4.624398996946813
Germany,Exponential Smoothing,182.32418256994677,4.289265707025381
Germany,Gradient Boosting (XGB substitute),221.02655119632524,4.5440544769279345
Germany,Random Forest,242.17736395111328,4.952779387704518
Ghana,ARIMA,20.47085800375182,16.953038935775144
Ghana,Exponential Smoothing,17.076068409527707,13.251206210497307
Ghana,Gradient Boosting (XGB substitute),24.84201072752245,20.61708729855172
Ghana,Random Forest,26.96472437159016,23.464765272275738
Greece,ARIMA,35.78462846237591,10.857879436730817
Greece,Exponential Smoothing,24.25333482399799,6.990612451904678
Greece,Gradient Boosting (XGB substitute),36.81151047263227,9.774225275130231
Greece,Random Forest,36.81598209024069,9.889240644913176
Greenland,ARIMA,0.48783080922835453,12.35069912914689
Greenland,Exponential Smoothing,1.181482750176021,31.93001601625398
Greenland,Gradient Boosting (XGB substitute),0.6083949170119506,16.373171029277593
Greenland,Random Forest,0.4117250789193173,11.282320616855975
Grenada,ARIMA,0.08748849053877925,6.133848579065474
Grenada,Exponential Smoothing,0.1944595010008122,13.818715555020974
Grenada,Gradient Boosting (XGB substitute),0.09509081899576223,6.51469451004823
Grenada,Random Forest,0.10008671218276305,6.444775877183215
Guadeloupe,ARIMA,5.782252502754881,53570541900.55918
Guadeloupe,Exponential Smoothing,3.303696836073946,28561558397.36126
Guadeloupe,Gradient Boosting (XGB substitute),4.960927766815015,46897725043.08602
Guadeloupe,Random Forest,4.981453621100997,47405207407.4074
Guam,ARIMA,2.8493405814183324,34.14324282603685
Guam,Exponential Smoothing,1.2836894637409122,16.207005948922358
Guam,Gradient Boosting (XGB substitute),3.382177583953242,40.709178568691726
Guam,Random Forest,2.9207572266379884,36.6229491710713
Guatemala,ARIMA,24.59729513312202,24.112706331783063
Guatemala,Exponential Smoothing,22.534363685514304,22.1877653194514
Guatemala,Gradient Boosting (XGB substitute),31.016513694345846,30.63531148526338
Guatemala,Random Forest,30.42299725358705,30.056144780056254
Guinea,ARIMA,1.2941102779688365,7.957636458800205
Guinea,Exponential Smoothing,1.9401849214312308,11.45185485785411
Guinea,Gradient Boosting (XGB substitute),3.2956591881742865,18.7963498601469
Guinea,Random Forest,3.273304120692405,18.62283984289862
Guinea-Bissau,ARIMA,0.15674830436717263,7.410242859718494
Guinea-Bissau,Exponential Smoothing,0.26086028424579155,15.132933516779318
Guinea-Bissau,Gradient Boosting (XGB substitute),0.12091834595098047,6.683139380864957
Guinea-Bissau,Random Forest,0.1319222694613493,7.030295937381485
Guyana,ARIMA,2.1824341842214237,16.35769720522241
Guyana,Exponential Smoothing,1.1992175029773466,9.262215221769523
Guyana,Gradient Boosting (XGB substitute),1.6819421231752112,12.238716445676143
Guyana,Random Forest,2.2474424902022863,19.068764746956678
Haiti,ARIMA,2.625827103162319,16.97913762816675
Haiti,Exponential Smoothing,1.968057206271242,12.471199641330537
Haiti,Gradient Boosting (XGB substitute),3.880017115787437,26.984432404850473
Haiti,Random Forest,3.47594083340515,23.99332536304606
High-income countries,ARIMA,2960.795577814802,2.8562957267659823
High-income countries,Exponential Smoothing,3378.919311657471,3.3339161253168803
High-income countries,Gradient Boosting (XGB substitute),1934.9003187029243,2.0673516645958068
High-income countries,Random Forest,1701.3892189995624,1.9605872284700743
Honduras,ARIMA,4.58916473220244,6.758058718749778
Honduras,Exponential Smoothing,6.316741663983336,10.10987817259627
Honduras,Gradient Boosting (XGB substitute),11.647265804588098,20.198892003874093
Honduras,Random Forest,12.735546028566102,22.53913578815633
Hong Kong,ARIMA,93.85738158324183,26.69196083828998
Hong Kong,Exponential Smoothing,108.04512751010122,31.425221562923717
Hong Kong,Gradient Boosting (XGB substitute),39.82721075347811,11.224354230430853
Hong Kong,Random Forest,38.292399894975816,10.694162813420403
Hungary,ARIMA,18.777389619744987,5.90291334750642
Hungary,Exponential Smoothing,34.90800707221539,11.39397215004737
Hungary,Gradient Boosting (XGB substitute),26.056072125853383,9.250969449684058
Hungary,Random Forest,24.073965414528374,8.260727007795282
Iceland,ARIMA,3.947623300787866,5.523487200691548
