Data Source,World Development Indicators,...3
Latin America & Caribbean (excluding high income),LAC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",763.415783762107,787.234514983382,826.767671529035,850.624322614633,862.846499059926,885.914438324754,908.943051134132,942.316254421488,974.971259050318,1005.01095038738,987.291040176165,991.606280563333,961.795806123538,984.420208872436,990.278697188694,988.979389650356,1013.41271147528,1011.15206716728,1014.41399964001,999.438560513983,1003.13874152326,998.637669205958,994.551414347377,1019.59231222552,1017.26801644732,1039.55348238632,1066.56267950121,1078.3241970923,1077.99267037539,1073.35542094524,1068.48117214846,1062.83875236845,1085.97240598248,1112.75210146397,1142.06592205492,1170.55185832754,1185.66792407137,1205.25896689969,1181.58158658364,1225.64165758406,1245.22886821827,1276.9724571577,1296.42998352627,1312.74505374785,"","","","","","","","","","
Lao PDR,LAO,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Lebanon,LBN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",755.540785034137,760.31196993779,924.383631922299,927.879826274057,803.590981850155,850.973181796675,656.89434517614,766.046972347576,808.304554686944,839.967766506167,783.494478695612,584.699621693583,625.270921190205,626.050513457483,723.810645693882,782.94249272429,786.876597780866,572.986141283818,556.304242068372,543.477021285473,659.141456649819,653.946726918685,918.788362285236,988.777312143892,1113.25397937504,1152.39340127754,1278.0405047701,1233.93931189987,1268.57100019576,1133.44158693935,1195.05679115331,1171.04006179898,1156.22135680679,1149.52648012873,1079.45855175074,1009.07004135432,872.214714835601,1102.59973191775,1331.73072782074,1265.23737584522,1245.36952366749,1369.63872551398,1231.21055061813,1180.65965126777,"","","","","","","","","","
Liberia,LBR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Libya,LBY,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",729.110847564979,987.219300558692,1122.68423593019,1191.43404910183,1425.11926631191,1221.63596923017,1434.30215791386,1534.78135812766,1623.75419237651,2058.44535854395,2102.09041260963,2221.14066256529,2271.51803958149,2402.65415317282,2598.90939263789,2510.33963981209,2665.72584853425,2497.02755350415,2645.42865169057,2512.2446734585,2493.01645981868,2429.18813055561,2471.91226789519,2739.59739421328,2850.35999725282,2978.87814335064,2981.90315242607,2973.4195938922,2890.60773417135,2983.52334514793,3017.82521001125,3078.79932684749,3105.14951957487,3126.90464698041,3033.55961410515,3004.78277438706,2737.087795976,2854.3917580664,3031.19189480995,3198.60726004445,2157.73545320873,2791.27309636258,3079.48351591878,2780.14989921042,"","","","","","","","","","
St. Lucia,LCA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",405.635549881399,"","","","","","","","","","","","","",730.642539226371,743.427017225748,714.118543678251,763.003850785059,"","","","","","","","","","","","","","","","","
Latin America & Caribbean,LCN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",825.86481664607,843.445086116912,883.468216968745,911.743317043595,911.446088154933,935.652558103171,960.486096950855,995.083577111729,1027.29356555892,1063.88383971956,1051.65685725131,1050.60023988355,1029.40726978614,1042.96920386447,1041.7749025768,1043.55665393283,1062.91623120629,1059.12284965606,1064.73249524833,1055.92188576571,1061.85063308998,1070.95447870023,1056.76678126945,1094.13348519803,1085.45703364628,1116.68621762306,1144.3933603519,1162.94038054259,1159.65409430686,1156.59233655776,1154.39431834499,1157.85174995033,1170.50157281741,1203.60086524914,1233.53959450569,1274.52694326031,1281.58752666629,1309.34198227941,1285.17982858568,1339.76653094845,1352.04743611407,1393.40583504065,1403.86534054154,1367.63994592608,"","","","","","","","","","
Least developed countries: UN classification,LDC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",317.551246640348,316.42424829276,316.773733468357,313.804768523858,307.680887052556,306.731318476611,304.123190561009,302.142784112639,300.46907150809,302.784550890455,298.161424109782,296.795136375377,296.340305947868,294.86040521821,296.355873648162,295.64871949724,292.389960606174,294.791991876159,293.900516439763,293.243511398911,291.854546302271,292.444928726181,289.884894802106,293.207635994904,296.788498862389,297.275795891609,298.580375616712,299.896178233502,303.713479220264,298.943198723777,304.887264642505,309.510264455266,314.57028796016,313.027648865753,316.009021043857,322.19820052167,324.618996585008,330.943226898902,338.768361528581,343.197830822689,345.59057729112,348.445167596773,356.738395476253,363.287532208129,"","","","","","","","","","
Low income,LIC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Liechtenstein,LIE,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Sri Lanka,LKA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",302.575066264815,315.818507081431,316.488445373969,295.179213889874,303.261927241186,299.807998538788,291.588285340319,301.925950627416,307.677898742724,305.39466192492,306.302946591172,320.089657802174,319.567407296504,328.075309580582,321.380758322389,328.070689333388,336.798379249406,338.179063988137,335.694917400973,337.330449037081,339.876338924189,343.253092545655,355.787981593709,336.71593161128,341.899553110361,375.320371082565,381.644710163194,380.714931052657,399.062884556133,431.57941713116,410.680017032339,413.905970346392,435.1517360506,437.982676381779,445.21249053497,446.263442694824,451.89233450506,441.82534248003,435.81910862824,466.556419200091,497.779337740577,531.643181417304,487.378430896284,515.5110212725,"","","","","","","","","","
Lower middle income,LMC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",299.672152974093,301.288825044729,304.809816438716,307.261929381678,310.515304113077,314.694441614639,316.999704944766,317.015939171824,322.79442169172,325.851981170164,331.403271320863,335.590185450079,339.009841944966,340.056632048146,347.588301116723,349.586008210804,354.988644515175,360.841760732313,367.229320179526,401.040819954211,404.361542837058,406.416438650648,407.240288966948,407.074787234471,414.064041331017,420.016923232445,426.396820410146,431.039496855496,441.248344856631,440.719553077978,441.701013677363,446.935080343047,450.47502557982,463.292259355851,472.343555781233,482.564972638722,495.544013070476,506.623379438513,524.968487108565,538.151084465113,551.142049036866,567.045461912842,565.540323837953,567.379198618524,"","","","","","","","","","
Low & middle income,LMY,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",438.985138885849,447.059919550978,458.679848140002,465.205213132576,483.971260186986,494.345478459348,514.447458632582,533.137563653848,542.582969122783,544.331886331514,543.775918371123,553.506069149236,554.612220072788,570.303396948556,577.892418144039,585.622257260999,598.50638539748,610.425407381777,616.640606088522,744.689993592908,736.154475064464,725.546231952239,727.237985030767,726.876229136046,744.759885319793,748.935121639337,753.40616664165,746.701287876084,753.393198999561,758.974366979551,767.966448140459,787.348671922304,831.522823576429,886.146125798986,927.95160231839,968.067400452216,1007.75149139951,1028.9739251552,1052.52448590566,1112.07349502394,1146.57243925011,1170.12098950829,1184.58765767128,1212.77342101012,"","","","","","","","","","
Lesotho,LSO,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14.2050571017929,16.8964238974827,9.76832112893001,9.72728780689593,"","","","","","","","","","","","","","","","","
Late-demographic dividend,LTE,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",603.001194955524,617.712041534292,632.700047740242,638.303714937426,675.947372887717,692.318734001556,729.912569849646,774.233758882629,786.040754927263,782.388894271636,759.682815034765,769.586812260035,778.535231551073,803.040320828243,817.864473421036,836.187274988884,859.158558819861,879.95807399393,881.606791739682,1358.64908147208,1319.36690054209,1273.97059730892,1260.16162344567,1217.9285105317,1241.44852585575,1254.19428702449,1233.898327582,1216.54283187801,1226.49427340319,1244.41816268457,1273.43306731345,1315.26428736261,1418.93445595986,1530.89151177924,1619.43199648646,1719.74316350064,1804.09965852256,1853.20839200661,1881.40503999557,2036.28253519588,2138.675840887,2196.82239953184,2235.91412258048,2301.9354310092,"","","","","","","","","","
Lithuania,LTU,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4344.1727301196,4601.70015447605,2978.4112057088,2472.21741736099,2220.42036080614,2401.12016691733,2610.04194509516,2490.34764262181,2633.26187385736,2259.65641367013,2037.61955870721,2384.74273211675,2574.35333091107,2709.24975982464,2779.19590177891,2662.80073486213,2666.01333553931,2927.24122286613,2975.91199635048,2770.8323584945,2275.76016649436,2412.48070169066,2468.99881617512,2356.64500222978,2387.27519440779,"","","","","","","","","","
Luxembourg,LUX,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,10523.4066949072,10534.0182107971,10414.5409197194,10465.8130206726,11150.0503432494,10926.395173454,10480.6061785891,10361.9725667547,11114.6672621706,11974.1925925926,12106.1529435005,11863.0895885474,12009.5701096365,12648.5604223142,13023.8895930151,10504.9811951525,10668.5674366772,10278.5575523442,11096.0036684373,10458.112860198,9774.65055608952,8526.03737422137,8057.80999931605,7576.20712101569,8112.67547910098,8346.92642062033,8163.54875052599,7942.94807821982,8158.43352523765,8699.93635640414,8874.10501505827,9353.42118863049,9262.08197870848,9266.94257500472,8823.25246633989,7705.40715815234,7711.17870722433,7409.85099535105,7066.88485990111,7266.97253034439,7676.83703873481,7982.8503482249,8204.72684484788,8549.50291167549,9387.43710365754,9428.81128562768,9170.532565161,8773.89670266025,8612.2337051059,7951.72394396755,8329.47827510637,8056.404300594,7722.19020390021,7312.15400471142,6861.10666721791,6548.40555894973,"","","","","","","","","
Latvia,LVA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2949.28413747474,2791.67473093635,2335.40919345548,2058.6496260665,1893.9633647553,1849.58528097556,1839.98352611201,1821.35198579773,1796.18085998492,1663.91505980802,1618.46001140419,1759.16086549117,1763.25755690158,1889.95412934258,1961.10461565925,2022.56433025028,2113.71073276303,2179.81389112972,2106.36368897205,2055.82468626104,2148.65355139675,2066.63756870509,2170.58583240878,2156.16200953272,2176.84330583785,"","","","","","","","","","
"Macao SAR, China",MAC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
St. Martin (French part),MAF,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Morocco,MAR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",190.286609487529,199.882295996682,215.854890054795,228.339732142804,230.942710147512,243.537764659544,261.22291081822,269.972617878558,280.745852845828,277.844801498134,271.730349568668,275.467807077844,279.203925644243,280.830431803087,279.471065168674,281.968167237244,283.530444003902,291.968766313466,311.246758170438,312.545673326523,322.837795083305,336.35548887955,343.578225312718,362.484501451531,353.718180798532,366.080230879413,371.734344817763,373.262630817683,391.110928431292,387.668098525038,405.378508420181,406.627894336564,399.729908088605,468.190016778944,488.967803828851,490.570851723649,499.227228937884,511.473318356161,508.341570723009,526.093004666644,559.194372681966,559.567655349874,554.754883089998,554.936093727251,"","","","","","","","","","
Monaco,MCO,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Moldova,MDA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3321.95410744172,2767.27632391837,2296.55229095276,2048.65747794162,1715.61155407694,1597.61580658269,1375.82147414594,1318.17118368567,1217.35082158893,1063.12584836939,985.730004226121,1045.89506654079,1063.27813051177,1157.37094059723,1166.00386115718,1210.52376526704,1197.64579045855,1168.03297082176,1165.93332550204,1108.83833069304,1225.31280198047,1206.7103180027,1194.09374602318,1073.53164370158,1155.26267445583,"","","","","","","","","","
Madagascar,MDG,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Maldives,MDV,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",226.448154047392,"","","","","","","","","","","","","",829.42673341893,734.264707322088,917.632889492147,921.47719883259,"","","","","","","","","","","","","","","","","
Middle East & North Africa,MEA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",474.566949177554,470.780239889672,536.469586679207,558.672695397014,594.597233401679,642.681304235454,688.000342920397,732.88978284411,841.410655216494,891.983081520753,981.82862578707,1069.46797610135,1056.74809898579,1077.01590441898,1104.99954469359,1117.21951858665,1161.81937688835,1211.11056507654,1266.67727250237,1191.45475043175,1223.27215261342,1307.56941538795,1371.4741038613,1434.47563035918,1447.50626511562,1447.79156778309,1499.36508321527,1489.86246142028,1511.4975500469,1499.6415393585,1579.75180838346,1612.04526013895,1615.03846986183,1683.16582900881,1764.05054639291,1832.74206102986,1879.29706973992,1980.2690199741,2003.96714170343,2057.76464775962,2029.07028161618,2131.78030451719,2086.31247847173,2286.92012087108,"","","","","","","","","","
Mexico,MEX,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",819.892763104598,879.804649136016,944.106757570569,975.837309843699,1002.74831136068,1043.60540315003,1098.42451172748,1196.2192746669,1278.99623245581,1413.28271862663,1474.16370246647,1509.03788920178,1390.44832352479,1422.45674640972,1447.35864495717,1379.74030300225,1422.30747770339,1411.51746639344,1446.36874913397,1493.3663985476,1537.94999754354,1521.6836264928,1518.86753760735,1525.11650759157,1450.31787882025,1456.792977235,1507.39894245348,1524.24453633365,1543.36641960502,1520.85385539845,1551.39507299661,1536.77926743744,1605.53404756322,1601.01173695291,1688.18442463496,1703.43921857179,1668.65757702459,1627.74248654723,1606.14565280926,1538.08041873587,1593.29627811386,1641.07773336157,1623.21958117658,1569.31702404542,1547.2405968711,"","","","","","","","","
Marshall Islands,MHL,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",559.942847212836,558.70226948715,577.011847976612,614.970692802921,"","","","","","","","","","","","","","","","","
Middle income,MIC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",433.503003386947,442.268370065753,454.308638699349,461.006579062189,480.636532347441,491.259026963442,511.901586650908,531.092349630752,540.266923364152,541.974619793594,541.288257226541,551.099951930049,551.863193442181,568.061999741285,576.159739067859,584.731117559699,598.661427460004,611.127824350311,618.158037555255,752.628625609702,744.062831305101,734.827252212797,737.834998256109,738.17593516141,757.567566207378,762.669952531611,767.596357741998,760.894666599882,767.74433816931,775.550543226373,784.952629214853,805.747158407643,852.676559454004,911.043752117189,954.919852068549,997.635556239831,1041.13000305631,1063.33040936376,1089.12306168417,1153.36122108881,1192.36133122768,1221.11340980751,1237.67963669869,1264.20328703271,"","","","","","","","","","
North Macedonia,MKD,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1200.36933859705,1180.68146113267,1328.86811120957,1381.74476070506,1241.32293118867,1250.78982894462,1468.0318977935,1345.46382361587,1439.11028665674,1343.51622245732,1316.50800700767,1266.24000802012,1251.04880462261,1379.1588080436,1362.18235817529,1396.62250103474,1470.39668813967,1525.65063973417,1532.11297224996,1437.2605016791,1479.44096947127,1611.07578308639,1534.48843182865,1404.57092987212,1367.86285883549,"","","","","","","","","","
Mali,MLI,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Malta,MLT,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",695.95639246779,873.033559265994,844.477167438782,775.463913429317,687.987719494317,778.166227344379,822.865426588917,950.342057243812,907.525962047858,1005.12245574697,1129.51201008207,1255.81010009267,945.09022037734,1245.23507757273,1023.89939723943,1678.11388368443,1750.65387462444,1871.37695242208,1983.26879979015,1961.64271395093,1846.50057029779,1807.05786985403,2289.02151313734,2056.34250007337,1879.09458718295,1836.66969373922,2047.42274504886,1792.82716520412,1943.42558143135,1731.70856757595,2001.33578269233,1851.91264972763,2071.49846204796,2066.58392894524,2181.14373727819,2055.68604616736,2156.55579705156,2043.52690294324,1887.20340770516,2012.31580572631,1993.32881701212,2090.39397373508,1803.21010782525,1781.50442518605,"","","","","","","","","","
Myanmar,MMR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",284.283300678144,282.8141398698,272.766146445779,278.436161266338,277.757889275999,282.58049376486,283.071553273147,281.193655542105,281.226203386555,283.570564649376,282.262389643479,282.902760826976,280.915338875283,284.8870116261,300.118447983276,300.424377643684,283.72482861794,276.019744292669,278.936416006908,268.210655728091,259.974871611372,264.4009908391,258.791383029654,271.481159866702,277.167452585401,274.16015252975,276.373237259922,280.348977184651,277.997448586581,283.550199476314,274.183672816182,280.615196363488,301.526091392,315.405275497733,314.009135854492,316.144215141382,325.701090802142,312.261921394841,294.199053897128,286.00283018356,289.844135409639,314.155765526187,330.502139381487,380.985920856459,"","","","","","","","","","
Middle East & North Africa (excluding high income),MNA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",333.371810209035,338.477095462983,378.550041541112,417.483063770173,442.531908725197,486.590186954096,518.401536764358,529.155670438172,588.464211180707,588.419557021035,624.986948922553,685.158346150854,665.787104012183,708.625518096168,736.305872989296,740.214169237313,742.186036524056,749.29406282245,795.920737253246,804.16957481801,815.873994558834,855.865675870309,902.269416258612,945.181367583543,960.536294062675,943.917749213666,1011.16329818779,980.424282445379,1005.81882167601,987.263669855502,1041.78427429456,1050.94572775092,1056.66499313769,1109.19634159854,1188.17613311374,1208.0699215887,1239.27046902714,1288.09790169152,1300.37290569479,1290.84787888531,1276.94692097215,1308.18878190183,1303.24287784186,1423.23837758237,"","","","","","","","","","
Montenegro,MNE,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1745.97443106432,1913.55635949758,1927.97889182058,2067.96775850975,1646.31227215532,1898.28842093028,1815.52995666681,1711.79711279872,1580.41844344961,1538.26409996623,"","","","","","","","","","
Mongolia,MNG,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","",1624.903591647,1707.80201576385,1755.34407751631,1822.20724916463,1688.48099388707,1624.00426928923,1762.0893142977,1540.63216455468,1442.70875189942,1233.7636653048,1211.16701761167,1004.56249969573,970.103196247409,964.35679524436,952.145970002711,1003.47067096708,998.756695788772,1055.77807022952,1018.14887593565,1036.70409805088,1181.01511311079,1327.57147175409,1372.18632895824,1355.85375459528,1383.4997761151,1439.5604796865,1548.10202859187,1680.68690233669,1814.17007386312,1813.91023562044,"","","","","","","","","","
Northern Mariana Islands,MNP,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Mozambique,MOZ,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",815.503013900732,778.375657933713,759.230541233976,729.977924648442,700.158068224136,667.516619947951,654.634167809701,613.366797730323,593.234047302841,592.795518012572,566.518244483312,554.236462492294,536.965842299149,519.269802404264,507.354679662815,493.347912678659,486.389550179239,481.396982850279,472.391619886569,452.251958202111,441.459202267211,438.507414358118,433.163392828167,409.11348541189,393.741185286454,388.149871941636,388.908318604704,383.926116394579,382.79848336345,395.632337805914,407.097385014097,403.263883152627,415.755183389433,422.103975879816,418.071174029845,420.562871555788,428.31573352324,425.988389221229,430.421300349749,433.064491058072,438.1002120213,433.662905090286,436.359641701286,451.208146274644,"","","","","","","","","","
Mauritania,MRT,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Mauritius,MUS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",434.19563171002,435.424791650285,439.021344350668,449.421553866444,448.755605381166,460.020716883598,474.534366422504,476.317596483767,467.93727260477,446.296681603952,435.021449071968,414.601806913909,426.413934037543,431.888885925109,433.200264960883,490.737679411879,512.011597537647,513.967556811047,561.161843882579,629.38206890038,634.421723197784,657.786822888474,678.841488863414,657.623786220196,697.003983226083,702.234399415871,712.57197696737,750.443158129679,775.374446827827,851.221655560452,886.76379497562,873.195801833108,909.063187650923,919.797903854454,945.723767233813,1006.50164182056,1007.57484087994,1027.17420572436,999.486944747958,1053.45249520154,1053.50988977998,1067.78025324035,1094.48760730368,1111.18070928824,"","","","","","","","","","
Malawi,MWI,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Malaysia,MYS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",580.716582115351,573.823609712054,555.033134378011,612.534736029389,629.184371500693,667.008195762129,656.703512288803,824.430367004573,942.932065618075,916.077059541507,945.688187573545,928.800810942226,1048.09551119155,1046.18555351514,1019.40132405313,1107.56535089581,1084.81030319529,1102.65997205983,1174.15036225533,1224.32101391278,1468.60012918657,1576.90655248232,1662.11175643276,1612.04929495532,1700.38216778561,1834.67963467011,2082.82951780889,1931.86440156494,1910.83781346651,2128.59533531617,2162.6181888725,2181.9827065907,2283.09281486792,2399.18486020304,2544.0910113616,2501.712607156,2680.57790411124,2744.00801971443,2555.84477857923,2560.80226199423,2623.8471185091,2624.83537056864,2909.99247206187,2922.28592151514,"","","","","","","","","","
North America,NAC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5516.3459773433,5494.08645685822,5654.54454258306,5869.04441754801,6024.09479011808,6201.7705871082,6469.29144814596,6693.14400522079,6960.88726574848,7215.69080261952,7466.14836820158,7528.95847137843,7837.85224533811,8060.07094421876,7830.59996851459,7609.2396596593,8022.21030815322,8202.5057397307,8353.1964660071,8281.90855843689,7931.20813889001,7638.52966059878,7250.71342327267,7187.11890279048,7436.01500922307,7457.42226799139,7390.38887918437,7626.99778285051,7853.25888390878,7897.55289958294,7667.61104332878,7620.0802210759,7669.86094443972,7715.56442694212,7777.62758341576,7785.18244403634,7865.16408942432,7851.08373216935,7817.95679700098,7941.32972288643,8077.28673701788,7850.31584404573,7858.16587853615,7848.08131423764,7938.07694523046,7903.1431022783,7751.02295851226,7802.97902646639,7557.73742817303,7129.89860582264,7223.51895955718,7117.472139773,6957.82400981101,6989.37560225639,7054.61416377651,6886.83667424064,"","","","","","","","","
Namibia,NAM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",490.637741190831,505.863184157906,527.473707444238,551.042084322857,586.16875862112,612.902716294181,610.523281144925,621.047528632315,603.722877241653,560.698695238823,651.044561045272,592.208871040281,608.341017093411,629.756107105673,674.075121200133,666.692103170459,677.01575349252,711.0098600136,713.255646256801,729.201336043845,740.040301445494,749.986102592937,771.050313694779,781.001055732376,"","","","","","","","","","
New Caledonia,NCL,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Niger,NER,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",127.643807837437,126.890092458908,127.171081655538,128.159260025644,129.281109761948,126.011762557545,124.588212380755,125.639421735644,126.768440002435,129.490785530939,134.662772334125,112.685439568037,127.610106965,154.843401405343,150.203146778016,"","","","","","","","","","
Nigeria,NGA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",579.911408756535,586.061886754641,597.419426095998,600.372112816611,608.098366185642,621.988712527224,636.059088037869,645.585098645927,652.186846775897,662.359788343578,671.180297476329,683.786198497982,685.140976445786,669.316790982982,672.487045126507,660.588175152967,665.598636373926,667.275059174578,672.23604519888,683.904946333656,698.007229470807,706.799249448852,699.373896455558,664.439408813287,664.982109454671,675.348206689409,680.282484679515,667.277710657523,673.183528093095,680.817423970127,695.655273175467,698.523687992692,718.151641450875,718.295474004861,726.19208281376,712.265507780009,717.227079565283,718.23658075883,687.407222772425,719.403317342932,739.876306630151,757.965205855541,740.136753693299,724.640449251135,"","","","","","","","","","
Nicaragua,NIC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",487.04489314252,483.451055301219,509.317255493761,518.409999725483,522.776286208134,544.40465437104,581.379860679946,545.81026479768,447.878275570583,471.884634222758,471.121513931124,468.82947121697,476.04384012382,510.564216999567,521.075662373913,509.026906372087,502.483666326307,464.360373786603,486.327227801172,485.06171323938,503.001312083635,506.826445378109,487.896442803474,482.72795294941,486.564844491551,486.39442838375,500.64610725318,495.791574138632,495.755566491684,501.058707653934,498.954071730061,510.896794487048,516.750550713947,534.003601804847,535.63941554874,523.123058284453,524.232601687792,522.543961877799,518.178849807508,515.237431263017,525.588450762848,556.980367163976,588.111155954073,603.737217489119,"","","","","","","","","","
Netherlands,NLD,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1825.93425348129,1879.15020149996,2081.01162075335,2268.42788956612,2349.08354168178,2493.15389713253,2605.56695590029,2762.80248267193,3042.8096578079,3362.78721886904,3765.56736551356,3855.22676612833,4381.04179488413,4613.27133913452,4501.41431678097,4318.72656421784,4742.98174166368,4560.27311990999,4662.6052776921,4868.63559398701,4548.82478904295,4269.41411959452,3785.11593557885,3935.95687916882,4147.70152766068,4184.4298143922,4317.31559060292,4387.67068913634,4321.10052957657,4323.85818026876,4394.54208972873,4603.73317545464,4502.54008023885,4510.5821521104,4511.79496267204,4780.41259573869,5014.98883036462,4835.74194540266,4842.44393768492,4730.22968250619,4739.06592522326,4839.46553011371,4873.26162620444,5020.38193187406,5085.8857008193,4989.46792952002,4925.11241671638,4908.89826059524,4848.01368974655,4722.10603889032,5025.32091625393,4636.70190403517,4646.25524068631,4600.18297553883,4325.52371158081,4233.04385740124,"","","","","","","","","
